"BOM","OID","OIDParentPart","PartNumber","Mfg","Name","Class","Supplier","Note"
"True","1",,,,"32mm Hinge Clip","15",,
"True","3","21",,,"550.0","13",,
"True","8","21",,,"500.0","13",,
"True","9","22",,,"21.0","13",,
"True","10","21",,,"450.0","13",,
"True","11","21",,,"400.0","13",,
"True","12","21",,,"350.0","13",,
"True","13","21",,,"300.0","13",,
"True","14","21",,,"270.0","13",,
"True","15","21",,,"600.0","13",,
"True","16","21",,,"650.0","13",,
"True","17","0",,,"1","24",,
"True","18","0",,,"1.1","24",,
"False","19","22",,,"18.0","13",,
"False","21","0",,,"Blum Tandem 560","25",,
"False","22","0",,,"Blum Tandem 562","25",,
"False","23","26",,,"500.0","13",,
"False","24","26",,,"520.0","13",,
"False","25","26",,,"550.0","13",,
"False","26","0",,,"Hettich Quaddro Innotech","25",,
"False","27","436",,,"350.0","13",,
"False","28","436",,,"400.0","13",,
"False","29","436",,,"450.0","13",,
"False","30","436",,,"500.0","13",,
"False","31","436",,,"550.0","13",,
"False","32","437",,,"270.0","13",,
"False","33","437",,,"300.0","13",,
"False","34","437",,,"350.0","13",,
"False","35","437",,,"400.0","13",,
"False","36","437",,,"450.0","13",,
"False","37","437",,,"500.0","13",,
"False","38","437",,,"550.0","13",,
"False","39","437",,,"600.0","13",,
"False","40","437",,,"650.0","13",,
"False","41","0",,,"Drawer Front","35",,
"False","42","0",,,"Top Hinge Clip","15",,
"False","46","0",,,"Hettich Quadro V6","25",,
"False","47","26",,,"280.0","13",,
"False","48","46",,,"300.0","13",,
"False","49","46",,,"320.0","13",,
"False","50","46",,,"350.0","13",,
"False","51","46",,,"380.0","13",,
"False","52","46",,,"400.0","13",,
"False","53","46",,,"420.0","13",,
"False","54","46",,,"450.0","13",,
"False","55","46",,,"480.0","13",,
"False","56","46",,,"500.0","13",,
"False","57","46",,,"520.0","13",,
"False","58","46",,,"550.0","13",,
"False","59","46",,,"580.0","13",,
"False","60","46",,,"600.0","13",,
"False","73","0",,,"Blum 32mm Hinge","28",,
"False","74","437",,,"69.0","29",,
"False","75","437",,,"550.0","30",,
"False","76","0",,,"Leveler Leg","31",,
"False","77","437",,,"84.0","26",,
"False","78","0",,,"96-128","33",,
"False","79","0",,,"Salice Futura 6555","25",,
"False","80","79",,,"550.0","13",,
"False","81","0",,,"Blum Tandem 563","25",,
"False","82","81",,,"9.0","13",,
"False","83","81",,,"12.0","13",,
"False","84","81",,,"15.0","13",,
"False","85","81",,,"18.0","13",,
"False","86","81",,,"21.0","13",,
"False","87","438",,,"250.0","13",,
"False","88","438",,,"300.0","13",,
"False","89","438",,,"350.0","13",,
"False","90","438",,,"400.0","13",,
"False","91","438",,,"450.0","13",,
"False","92","438",,,"500.0","13",,
"False","93","438",,,"550.0","13",,
"False","94","438",,,"600.0","13",,
"False","95","438",,,"650.0","13",,
"False","96","79",,,"600.0","13",,
"False","97","79",,,"450.0","13",,
"False","98","79",,,"470.0","13",,
"False","99","79",,,"500.0","13",,
"False","100","79",,,"300.0","13",,
"False","101","79",,,"350.0","13",,
"False","102","79",,,"400.0","13",,
"False","103","79",,,"250.0","13",,
"False","104","79",,,"270.0","13",,
"False","105","436",,,"55.0","29",,
"False","106","436",,,"87.0","29",,
