"OID","Name","ClassName","ClassID","Mfg","PartNumber","ParentPartOID","Note","BOM"
"1","32mm Hinge Clip","Door Hinge Clip","15",,,,,"True"
"3","550.0","Drawer Slide","13",,,"21",,"True"
"8","500.0","Drawer Slide","13",,,"21",,"True"
"9","21.0","Drawer Slide","13",,,"22",,"True"
"10","450.0","Drawer Slide","13",,,"21",,"True"
"11","400.0","Drawer Slide","13",,,"21",,"True"
"12","350.0","Drawer Slide","13",,,"21",,"True"
"13","300.0","Drawer Slide","13",,,"21",,"True"
"14","270.0","Drawer Slide","13",,,"21",,"True"
"15","600.0","Drawer Slide","13",,,"21",,"True"
"16","650.0","Drawer Slide","13",,,"21",,"True"
"17","1","Drawer Spacer Block","24",,,"0",,"True"
"18","1.1","Drawer Spacer Block","24",,,"0",,"True"
"19","18.0","Drawer Slide","13",,,"22",,"False"
"21","Blum Tandem 560","Drawer Slide System","25",,,"0",,"False"
"22","Blum Tandem 562","Drawer Slide System","25",,,"0",,"False"
"23","500.0","Drawer Slide","13",,,"26",,"False"
"24","520.0","Drawer Slide","13",,,"26",,"False"
"25","550.0","Drawer Slide","13",,,"26",,"False"
"26","Hettich Quaddro Innotech","Drawer Slide System","25",,,"0",,"False"
"27","350.0","Drawer Slide","13",,,"436",,"False"
"28","400.0","Drawer Slide","13",,,"436",,"False"
"29","450.0","Drawer Slide","13",,,"436",,"False"
"30","500.0","Drawer Slide","13",,,"436",,"False"
"31","550.0","Drawer Slide","13",,,"436",,"False"
"32","270.0","Drawer Slide","13",,,"437",,"False"
"33","300.0","Drawer Slide","13",,,"437",,"False"
"34","350.0","Drawer Slide","13",,,"437",,"False"
"35","400.0","Drawer Slide","13",,,"437",,"False"
"36","450.0","Drawer Slide","13",,,"437",,"False"
"37","500.0","Drawer Slide","13",,,"437",,"False"
"38","550.0","Drawer Slide","13",,,"437",,"False"
"39","600.0","Drawer Slide","13",,,"437",,"False"
"40","650.0","Drawer Slide","13",,,"437",,"False"
"41","Drawer Front","Drawer Front","35",,,"0",,"False"
"42","Top Hinge Clip","Door Hinge Clip","15",,,"0",,"False"
"46","Hettich Quadro V6","Drawer Slide System","25",,,"0",,"False"
"47","280.0","Drawer Slide","13",,,"26",,"False"
"48","300.0","Drawer Slide","13",,,"46",,"False"
"49","320.0","Drawer Slide","13",,,"46",,"False"
"50","350.0","Drawer Slide","13",,,"46",,"False"
"51","380.0","Drawer Slide","13",,,"46",,"False"
"52","400.0","Drawer Slide","13",,,"46",,"False"
"53","420.0","Drawer Slide","13",,,"46",,"False"
"54","450.0","Drawer Slide","13",,,"46",,"False"
"55","480.0","Drawer Slide","13",,,"46",,"False"
"56","500.0","Drawer Slide","13",,,"46",,"False"
"57","520.0","Drawer Slide","13",,,"46",,"False"
"58","550.0","Drawer Slide","13",,,"46",,"False"
"59","580.0","Drawer Slide","13",,,"46",,"False"
"60","600.0","Drawer Slide","13",,,"46",,"False"
"73","Blum 32mm Hinge","Door Hinge","28",,,"0",,"False"
"74","69.0","Drawer Back","29",,,"437",,"False"
"75","550.0","Drawer Bottom","30",,,"437",,"False"
"76","Leveler Leg","Carcass Deck","31",,,"0",,"False"
"77","84.0","Drawer Front","26",,,"437",,"False"
"78","96-128","Handle","33",,,"0",,"False"
"79","Salice Futura 6555","Drawer Slide System","25",,,"0",,"False"
"80","550.0","Drawer Slide","13",,,"79",,"False"
"81","Blum Tandem 563","Drawer Slide System","25",,,"0",,"False"
"82","9.0","Drawer Slide","13",,,"81",,"False"
"83","12.0","Drawer Slide","13",,,"81",,"False"
"84","15.0","Drawer Slide","13",,,"81",,"False"
"85","18.0","Drawer Slide","13",,,"81",,"False"
"86","21.0","Drawer Slide","13",,,"81",,"False"
"87","250.0","Drawer Slide","13",,,"438",,"False"
"88","300.0","Drawer Slide","13",,,"438",,"False"
"89","350.0","Drawer Slide","13",,,"438",,"False"
"90","400.0","Drawer Slide","13",,,"438",,"False"
"91","450.0","Drawer Slide","13",,,"438",,"False"
"92","500.0","Drawer Slide","13",,,"438",,"False"
"93","550.0","Drawer Slide","13",,,"438",,"False"
"94","600.0","Drawer Slide","13",,,"438",,"False"
"95","650.0","Drawer Slide","13",,,"438",,"False"
"96","600.0","Drawer Slide","13",,,"79",,"False"
"97","450.0","Drawer Slide","13",,,"79",,"False"
"98","470.0","Drawer Slide","13",,,"79",,"False"
"99","500.0","Drawer Slide","13",,,"79",,"False"
"100","300.0","Drawer Slide","13",,,"79",,"False"
"101","350.0","Drawer Slide","13",,,"79",,"False"
"102","400.0","Drawer Slide","13",,,"79",,"False"
"103","250.0","Drawer Slide","13",,,"79",,"False"
"104","270.0","Drawer Slide","13",,,"79",,"False"
"105","55.0","Drawer Back","29",,,"436",,"False"
"106","87.0","Drawer Back","29",,,"436",,"False"
"107","119.0","Drawer Back","29",,,"436",,"False"
"108","151.0","Drawer Back","29",,,"436",,"False"
"109","55.0","Drawer Front","26",,,"436",,"False"
"110","87.0","Drawer Front","26",,,"436",,"False"
"111","119.0","Drawer Front","26",,,"436",,"False"
"112","151.0","Drawer Front","26",,,"436",,"False"
"113","270.0","Drawer Bottom","30",,,"436",,"False"
